Unique ID,Labels Set
202,non-hostile
203,fake
204,non-hostile
205,non-hostile
206,fake
207,hate
208,non-hostile
209,non-hostile
210,non-hostile
211,non-hostile
212,non-hostile
213,non-hostile
214,non-hostile
215,hate
216,"hate,offensive"
217,fake
218,fake
219,offensive
220,"hate,offensive"
221,offensive
222,non-hostile
223,defamation
224,non-hostile
225,hate
226,non-hostile
227,offensive
228,non-hostile
229,fake
230,offensive
231,"fake,hate"
232,"defamation,hate"
233,fake
234,fake
235,non-hostile
236,fake
237,non-hostile
238,non-hostile
239,offensive
240,non-hostile
241,hate
242,non-hostile
243,non-hostile
244,offensive
245,defamation
246,offensive
247,non-hostile
248,non-hostile
249,defamation
250,non-hostile
251,non-hostile
252,"defamation,offensive"
253,non-hostile
254,non-hostile
255,non-hostile
256,fake
257,fake
258,non-hostile
259,fake
260,offensive
261,fake
262,fake
263,offensive
264,non-hostile
265,non-hostile
266,non-hostile
267,non-hostile
268,offensive
269,hate
270,fake
271,hate
272,"hate,offensive"
273,non-hostile
274,non-hostile
275,non-hostile
276,fake
277,non-hostile
278,hate
279,non-hostile
280,"defamation,fake"
281,non-hostile
282,non-hostile
283,non-hostile
284,non-hostile
285,hate
286,non-hostile
287,non-hostile
288,fake
289,"defamation,offensive"
290,fake
291,"fake,offensive"
292,non-hostile
293,fake
294,non-hostile
295,non-hostile
296,fake
297,non-hostile
298,hate
299,non-hostile
300,defamation
301,fake
302,defamation
303,non-hostile
304,non-hostile
305,fake
306,non-hostile
307,non-hostile
308,non-hostile
309,non-hostile
310,"hate,offensive"
311,fake
312,non-hostile
313,non-hostile
314,"hate,offensive"
315,non-hostile
316,non-hostile
317,non-hostile
318,non-hostile
319,fake
320,non-hostile
321,non-hostile
322,hate
323,non-hostile
324,non-hostile
325,non-hostile
326,fake
327,"hate,offensive"
328,offensive
329,non-hostile
330,"defamation,offensive"
331,"defamation,hate"
332,fake
333,non-hostile
334,fake
335,fake
336,non-hostile
337,non-hostile
338,fake
339,non-hostile
340,"fake,offensive"
341,non-hostile
342,defamation
343,fake
344,defamation
345,fake
346,non-hostile
347,non-hostile
348,"hate,offensive"
349,non-hostile
350,"defamation,offensive"
351,non-hostile
352,defamation
353,non-hostile
354,hate
355,"hate,offensive"
356,non-hostile
357,non-hostile
358,hate
359,defamation
360,non-hostile
361,fake
362,non-hostile
363,non-hostile
364,non-hostile
365,non-hostile
366,defamation
367,defamation
368,non-hostile
369,non-hostile
370,hate
371,fake
372,non-hostile
373,non-hostile
374,fake
375,non-hostile
376,fake
377,non-hostile
378,non-hostile
379,non-hostile
380,hate
381,fake
382,"hate,offensive"
383,offensive
384,non-hostile
385,non-hostile
386,hate
387,fake
388,non-hostile
389,non-hostile
390,non-hostile
391,non-hostile
392,non-hostile
393,fake
394,offensive
395,"fake,hate"
396,hate
397,defamation
398,hate
399,hate
400,fake
401,hate
402,fake
403,non-hostile
404,hate
405,non-hostile
406,non-hostile
407,offensive
408,non-hostile
409,non-hostile
410,defamation
411,"defamation,hate"
412,non-hostile
413,non-hostile
414,non-hostile
415,fake
416,"defamation,fake,hate"
417,fake
418,fake
419,"defamation,fake,offensive"
420,non-hostile
421,non-hostile
422,"defamation,hate"
423,non-hostile
424,non-hostile
425,non-hostile
426,offensive
427,non-hostile
428,non-hostile
429,non-hostile
430,fake
431,fake
432,defamation
433,non-hostile
434,defamation
435,"hate,offensive"
436,non-hostile
437,non-hostile
438,non-hostile
439,non-hostile
440,fake
441,non-hostile
442,fake
443,non-hostile
444,non-hostile
445,offensive
446,non-hostile
447,non-hostile
448,non-hostile
449,non-hostile
450,non-hostile
451,fake
452,"hate,offensive"
453,fake
454,non-hostile
455,offensive
456,non-hostile
457,non-hostile
458,non-hostile
459,"defamation,offensive"
460,non-hostile
461,non-hostile
462,non-hostile
463,non-hostile
464,fake
465,offensive
466,non-hostile
467,non-hostile
468,non-hostile
469,fake
470,non-hostile
471,non-hostile
472,non-hostile
473,non-hostile
474,non-hostile
475,non-hostile
476,defamation
477,non-hostile
478,fake
479,"hate,offensive"
480,non-hostile
481,non-hostile
482,fake
483,non-hostile
484,non-hostile
485,hate
486,non-hostile
487,fake
488,non-hostile
489,non-hostile
490,non-hostile
491,non-hostile
492,non-hostile
493,non-hostile
494,"defamation,hate"
495,"hate,offensive"
496,offensive
497,non-hostile
498,non-hostile
499,fake
500,non-hostile
501,non-hostile
502,non-hostile
503,non-hostile
504,hate
505,fake
506,non-hostile
507,non-hostile
508,non-hostile
509,non-hostile
510,non-hostile
511,defamation
512,non-hostile
513,hate
514,non-hostile
515,non-hostile
516,non-hostile
517,fake
518,non-hostile
519,non-hostile
520,defamation
521,hate
522,non-hostile
523,hate
524,non-hostile
525,fake
526,non-hostile
527,non-hostile
528,non-hostile
529,non-hostile
530,hate
531,non-hostile
532,non-hostile
533,non-hostile
534,offensive
535,non-hostile
536,non-hostile
537,offensive
538,"hate,offensive"
539,non-hostile
540,non-hostile
541,non-hostile
542,fake
543,hate
544,non-hostile
545,fake
546,non-hostile
547,non-hostile
548,non-hostile
549,"hate,offensive"
550,non-hostile
551,fake
552,offensive
553,defamation
554,offensive
555,non-hostile
556,non-hostile
557,non-hostile
558,non-hostile
559,fake
560,fake
561,fake
562,hate
563,fake
564,non-hostile
565,offensive
566,non-hostile
567,non-hostile
568,non-hostile
569,non-hostile
570,fake
571,"hate,offensive"
572,non-hostile
573,"defamation,offensive"
574,non-hostile
575,non-hostile
576,defamation
577,non-hostile
578,offensive
579,fake
580,"hate,offensive"
581,non-hostile
582,non-hostile
583,non-hostile
584,non-hostile
585,fake
586,non-hostile
587,non-hostile
588,non-hostile
589,non-hostile
590,hate
591,non-hostile
592,non-hostile
593,non-hostile
594,non-hostile
595,non-hostile
596,non-hostile
597,non-hostile
598,non-hostile
599,offensive
600,non-hostile
601,fake
602,non-hostile
603,non-hostile
604,defamation
605,offensive
606,non-hostile
607,non-hostile
608,non-hostile
609,fake
610,non-hostile
611,fake
612,hate
613,non-hostile
614,fake
615,offensive
616,defamation
617,fake
618,hate
619,non-hostile
620,fake
621,"defamation,fake"
622,non-hostile
623,non-hostile
624,non-hostile
625,offensive
626,non-hostile
627,non-hostile
628,offensive
629,fake
630,fake
631,non-hostile
632,fake
633,fake
634,non-hostile
635,non-hostile
636,"hate,offensive"
637,non-hostile
638,non-hostile
639,fake
640,fake
641,non-hostile
642,non-hostile
643,non-hostile
644,hate
645,non-hostile
646,non-hostile
647,non-hostile
648,defamation
649,offensive
650,non-hostile
651,non-hostile
652,non-hostile
653,non-hostile
654,non-hostile
655,non-hostile
656,offensive
657,"hate,offensive"
658,defamation
659,non-hostile
660,non-hostile
661,offensive
662,non-hostile
663,fake
664,non-hostile
665,"fake,offensive"
666,non-hostile
667,non-hostile
668,fake
669,fake
670,non-hostile
671,offensive
672,non-hostile
673,non-hostile
674,non-hostile
675,non-hostile
676,non-hostile
677,"hate,offensive"
678,defamation
679,offensive
680,"defamation,offensive"
681,non-hostile
682,non-hostile
683,non-hostile
684,non-hostile
685,non-hostile
686,fake
687,non-hostile
688,non-hostile
689,non-hostile
690,hate
691,non-hostile
692,non-hostile
693,fake
694,hate
695,non-hostile
696,"hate,offensive"
697,fake
698,non-hostile
699,fake
700,non-hostile
701,non-hostile
702,defamation
703,non-hostile
704,non-hostile
705,non-hostile
706,non-hostile
707,"hate,offensive"
708,hate
709,non-hostile
710,non-hostile
711,hate
712,hate
713,fake
714,non-hostile
715,hate
716,non-hostile
717,fake
718,defamation
719,non-hostile
720,non-hostile
721,non-hostile
722,defamation
723,non-hostile
724,non-hostile
725,"defamation,offensive"
726,non-hostile
727,non-hostile
728,non-hostile
729,non-hostile
730,non-hostile
731,non-hostile
732,non-hostile
733,hate
734,non-hostile
735,non-hostile
736,fake
737,non-hostile
738,"hate,offensive"
739,non-hostile
740,hate
741,fake
742,non-hostile
743,offensive
744,non-hostile
745,hate
746,fake
747,hate
748,non-hostile
749,non-hostile
750,non-hostile
751,non-hostile
752,fake
753,non-hostile
754,"fake,offensive"
755,defamation
756,"fake,hate,offensive"
757,fake
758,non-hostile
759,fake
760,non-hostile
761,"defamation,offensive"
762,fake
763,non-hostile
764,non-hostile
765,defamation
766,non-hostile
767,hate
768,offensive
769,non-hostile
770,fake
771,defamation
772,"hate,offensive"
773,non-hostile
774,non-hostile
775,non-hostile
776,non-hostile
777,fake
778,hate
779,"defamation,hate"
780,defamation
781,non-hostile
782,fake
783,non-hostile
784,non-hostile
785,fake
786,non-hostile
787,non-hostile
788,non-hostile
789,hate
790,offensive
791,fake
792,defamation
793,non-hostile
794,fake
795,non-hostile
796,offensive
797,defamation
798,non-hostile
799,offensive
800,offensive
801,non-hostile
802,non-hostile
803,"hate,offensive"
804,non-hostile
805,non-hostile
806,fake
807,offensive
808,non-hostile
809,non-hostile
810,non-hostile
811,non-hostile
812,offensive
813,hate
814,non-hostile
815,non-hostile
816,non-hostile
817,non-hostile
818,non-hostile
819,non-hostile
820,non-hostile
821,fake
822,fake
823,non-hostile
824,non-hostile
825,non-hostile
826,non-hostile
827,offensive
828,offensive
829,non-hostile
830,hate
831,offensive
832,hate
833,fake
834,non-hostile
835,hate
836,non-hostile
837,"defamation,hate,offensive"
838,fake
839,non-hostile
840,non-hostile
841,fake
842,non-hostile
843,fake
844,non-hostile
845,non-hostile
846,non-hostile
847,non-hostile
848,fake
849,non-hostile
850,non-hostile
851,"defamation,offensive"
852,non-hostile
853,defamation
854,fake
855,non-hostile
856,non-hostile
857,non-hostile
858,hate
859,"hate,offensive"
860,non-hostile
861,non-hostile
862,fake
863,non-hostile
864,non-hostile
865,hate
866,hate
867,fake
868,non-hostile
869,offensive
870,hate
871,non-hostile
872,non-hostile
873,offensive
874,non-hostile
875,non-hostile
876,non-hostile
877,fake
878,non-hostile
879,non-hostile
880,non-hostile
881,non-hostile
882,non-hostile
883,non-hostile
884,non-hostile
885,hate
886,non-hostile
887,offensive
888,non-hostile
889,offensive
890,non-hostile
891,non-hostile
892,non-hostile
893,fake
894,defamation
895,non-hostile
896,non-hostile
897,fake
898,non-hostile
899,fake
900,"defamation,offensive"
901,"defamation,offensive"
902,"hate,offensive"
903,non-hostile
904,hate
905,offensive
906,non-hostile
907,defamation
908,non-hostile
909,non-hostile
910,fake
911,non-hostile
912,"fake,offensive"
913,"hate,offensive"
914,non-hostile
915,non-hostile
916,defamation
917,defamation
918,hate
919,"defamation,hate"
920,non-hostile
921,hate
922,non-hostile
923,non-hostile
924,"defamation,fake"
925,non-hostile
926,non-hostile
927,non-hostile
928,non-hostile
929,non-hostile
930,non-hostile
931,non-hostile
932,non-hostile
933,non-hostile
934,fake
935,non-hostile
936,fake
937,hate
938,non-hostile
939,fake
940,non-hostile
941,non-hostile
942,non-hostile
943,non-hostile
944,fake
945,non-hostile
946,non-hostile
947,fake
948,non-hostile
949,non-hostile
950,hate
951,non-hostile
952,hate
953,offensive
954,non-hostile
955,non-hostile
956,non-hostile
957,fake
958,fake
959,non-hostile
960,non-hostile
961,non-hostile
962,non-hostile
963,fake
964,offensive
965,non-hostile
966,offensive
967,non-hostile
968,hate
969,hate
970,non-hostile
971,non-hostile
972,hate
973,non-hostile
974,fake
975,non-hostile
976,non-hostile
977,non-hostile
978,offensive
979,non-hostile
980,"defamation,hate"
981,fake
982,fake
983,fake
984,non-hostile
985,defamation
986,hate
987,non-hostile
988,fake
989,non-hostile
990,non-hostile
991,fake
992,non-hostile
993,non-hostile
994,non-hostile
995,fake
996,fake
997,non-hostile
998,non-hostile
999,hate
1000,non-hostile
1001,"defamation,fake,offensive"
1002,non-hostile
1003,defamation
1004,non-hostile
1005,non-hostile
1006,fake
1007,non-hostile
1008,fake
1009,"defamation,hate,offensive"
1010,non-hostile
1011,non-hostile
1012,non-hostile
1013,"defamation,offensive"
1014,offensive
1015,non-hostile
1016,non-hostile
1017,hate
1018,non-hostile
1019,hate
1020,fake
1021,fake
1022,non-hostile
1023,non-hostile
1024,non-hostile
1025,offensive
1026,non-hostile
1027,hate
1028,fake
1029,offensive
1030,defamation
1031,fake
1032,non-hostile
1033,non-hostile
1034,"defamation,fake"
1035,hate
1036,"fake,hate"
1037,non-hostile
1038,non-hostile
1039,non-hostile
1040,fake
1041,defamation
1042,defamation
1043,"defamation,hate"
1044,"defamation,fake,hate,offensive"
1045,hate
1046,non-hostile
1047,hate
1048,"defamation,fake,offensive"
1049,defamation
1050,non-hostile
1051,offensive
1052,non-hostile
1053,non-hostile
1054,"hate,offensive"
1055,offensive
1056,non-hostile
1057,"hate,offensive"
1058,hate
1059,fake
1060,non-hostile
1061,defamation
1062,non-hostile
1063,non-hostile
1064,non-hostile
1065,non-hostile
1066,hate
1067,non-hostile
1068,non-hostile
1069,fake
1070,fake
1071,"hate,offensive"
1072,"hate,offensive"
1073,fake
1074,non-hostile
1075,"defamation,fake,hate"
1076,non-hostile
1077,hate
1078,non-hostile
1079,non-hostile
1080,hate
1081,fake
1082,hate
1083,"defamation,offensive"
1084,non-hostile
1085,non-hostile
1086,non-hostile
1087,non-hostile
1088,non-hostile
1089,"defamation,hate"
1090,fake
1091,fake
1092,non-hostile
1093,non-hostile
1094,non-hostile
1095,non-hostile
1096,non-hostile
1097,non-hostile
1098,non-hostile
1099,non-hostile
1100,fake
1101,non-hostile
1102,offensive
1103,non-hostile
1104,"defamation,fake,offensive"
1105,hate
1106,offensive
1107,"fake,offensive"
1108,fake
1109,non-hostile
1110,hate
1111,fake
1112,non-hostile
1113,non-hostile
1114,non-hostile
1115,non-hostile
1116,hate
1117,offensive
1118,non-hostile
1119,non-hostile
1120,offensive
1121,fake
1122,"defamation,hate"
1123,offensive
1124,non-hostile
1125,non-hostile
1126,fake
1127,fake
1128,non-hostile
1129,hate
1130,non-hostile
1131,non-hostile
1132,non-hostile
1133,hate
1134,hate
1135,hate
1136,non-hostile
1137,"hate,offensive"
1138,non-hostile
1139,non-hostile
1140,non-hostile
1141,offensive
1142,"defamation,fake,offensive"
1143,hate
1144,non-hostile
1145,fake
1146,non-hostile
1147,non-hostile
1148,"defamation,hate,offensive"
1149,fake
1150,defamation
1151,non-hostile
1152,non-hostile
1153,offensive
1154,non-hostile
1155,non-hostile
1156,non-hostile
1157,non-hostile
1158,hate
1159,non-hostile
1160,non-hostile
1161,"hate,offensive"
1162,non-hostile
1163,offensive
1164,non-hostile
1165,fake
1166,non-hostile
1167,non-hostile
1168,fake
1169,fake
1170,"hate,offensive"
1171,defamation
1172,offensive
1173,defamation
1174,defamation
1175,offensive
1176,non-hostile
1177,non-hostile
1178,non-hostile
1179,fake
1180,non-hostile
1181,non-hostile
1182,non-hostile
1183,offensive
1184,non-hostile
1185,non-hostile
1186,defamation
1187,non-hostile
1188,fake
1189,fake
1190,non-hostile
1191,offensive
1192,non-hostile
1193,non-hostile
1194,non-hostile
1195,non-hostile
1196,non-hostile
1197,fake
1198,defamation
1199,non-hostile
1200,fake
1201,fake
1202,non-hostile
1203,non-hostile
1204,fake
1205,non-hostile
1206,fake
1207,fake
1208,fake
1209,non-hostile
1210,fake
1211,non-hostile
1212,non-hostile
1213,hate
1214,fake
1215,fake
1216,non-hostile
1217,non-hostile
1218,non-hostile
1219,non-hostile
1220,defamation
1221,fake
1222,non-hostile
1223,non-hostile
1224,fake
1225,non-hostile
1226,non-hostile
1227,fake
1228,non-hostile
1229,non-hostile
1230,fake
1231,fake
1232,fake
1233,non-hostile
1234,"defamation,fake,offensive"
1235,"defamation,offensive"
1236,fake
1237,fake
1238,"hate,offensive"
1239,fake
1240,non-hostile
1241,non-hostile
1242,non-hostile
1243,non-hostile
1244,non-hostile
1245,"defamation,offensive"
1246,non-hostile
1247,non-hostile
1248,non-hostile
1249,non-hostile
1250,"defamation,hate"
1251,non-hostile
1252,fake
1253,"defamation,hate,offensive"
1254,non-hostile
1255,hate
1256,non-hostile
1257,non-hostile
1258,defamation
1259,fake
1260,non-hostile
1261,fake
1262,non-hostile
1263,fake
1264,non-hostile
1265,fake
1266,non-hostile
1267,fake
1268,offensive
1269,hate
1270,offensive
1271,fake
1272,non-hostile
1273,defamation
1274,non-hostile
1275,fake
1276,fake
1277,fake
1278,non-hostile
1279,non-hostile
1280,non-hostile
1281,hate
1282,non-hostile
1283,non-hostile
1284,defamation
1285,non-hostile
1286,non-hostile
1287,non-hostile
1288,non-hostile
1289,non-hostile
1290,non-hostile
1291,fake
1292,non-hostile
1293,non-hostile
1294,hate
1295,"defamation,fake"
1296,fake
1297,offensive
1298,non-hostile
1299,hate
1300,offensive
1301,fake
1302,fake
1303,non-hostile
1304,non-hostile
1305,non-hostile
1306,offensive
1307,non-hostile
1308,hate
1309,non-hostile
1310,non-hostile
1311,non-hostile
1312,fake
1313,non-hostile
1314,non-hostile
1315,non-hostile
1316,non-hostile
1317,non-hostile
1318,hate
1319,fake
1320,non-hostile
1321,non-hostile
1322,non-hostile
1323,non-hostile
1324,non-hostile
1325,non-hostile
1326,offensive
1327,non-hostile
1328,fake
1329,"fake,hate,offensive"
1330,non-hostile
1331,non-hostile
1332,non-hostile
1333,non-hostile
1334,fake
1335,non-hostile
1336,fake
1337,non-hostile
1338,offensive
1339,defamation
1340,non-hostile
1341,non-hostile
1342,non-hostile
1343,fake
1344,offensive
1345,fake
1346,fake
1347,hate
1348,non-hostile
1349,hate
1350,non-hostile
1351,defamation
1352,offensive
1353,non-hostile
1354,non-hostile
1355,non-hostile
1356,non-hostile
1357,fake
1358,non-hostile
1359,offensive
1360,fake
1361,non-hostile
1362,non-hostile
1363,non-hostile
1364,fake
1365,non-hostile
1366,non-hostile
1367,non-hostile
1368,fake
1369,hate
1370,non-hostile
1371,non-hostile
1372,fake
1373,non-hostile
1374,defamation
1375,fake
1376,"defamation,offensive"
1377,"defamation,fake"
1378,defamation
1379,non-hostile
1380,non-hostile
1381,fake
1382,non-hostile
1383,non-hostile
1384,non-hostile
1385,non-hostile
1386,non-hostile
1387,non-hostile
1388,fake
1389,non-hostile
1390,non-hostile
1391,non-hostile
1392,non-hostile
1393,non-hostile
1394,non-hostile
1395,offensive
1396,hate
1397,defamation
1398,non-hostile
1399,non-hostile
1400,non-hostile
1401,defamation
1402,non-hostile
1403,non-hostile
1404,fake
1405,non-hostile
1406,non-hostile
1407,non-hostile
1408,non-hostile
1409,non-hostile
1410,non-hostile
1411,"defamation,fake"
1412,non-hostile
1413,offensive
1414,non-hostile
1415,"fake,hate"
1416,fake
1417,defamation
1418,fake
1419,non-hostile
1420,non-hostile
1421,"fake,offensive"
1422,defamation
1423,fake
1424,offensive
1425,non-hostile
1426,defamation
1427,offensive
1428,fake
1429,hate
1430,non-hostile
1431,hate
1432,"fake,hate"
1433,fake
1434,"defamation,hate"
1435,non-hostile
1436,defamation
1437,hate
1438,non-hostile
1439,non-hostile
1440,non-hostile
1441,defamation
1442,non-hostile
1443,"defamation,hate,offensive"
1444,fake
1445,non-hostile
1446,offensive
1447,non-hostile
1448,offensive
1449,fake
1450,"defamation,offensive"
1451,non-hostile
1452,non-hostile
1453,non-hostile
1454,non-hostile
1455,non-hostile
1456,"defamation,fake"
1457,fake
1458,non-hostile
1459,fake
1460,non-hostile
1461,non-hostile
1462,hate
1463,hate
1464,non-hostile
1465,non-hostile
1466,non-hostile
1467,non-hostile
1468,fake
1469,non-hostile
1470,hate
1471,fake
1472,non-hostile
1473,non-hostile
1474,non-hostile
1475,non-hostile
1476,non-hostile
1477,non-hostile
1478,non-hostile
1479,fake
1480,defamation
1481,fake
1482,"defamation,fake,hate,offensive"
1483,non-hostile
1484,fake
1485,non-hostile
1486,"defamation,fake,offensive"
1487,defamation
1488,defamation
1489,fake
1490,fake
1491,"defamation,hate"
1492,hate
1493,non-hostile
1494,non-hostile
1495,non-hostile
1496,non-hostile
1497,non-hostile
1498,"hate,offensive"
1499,non-hostile
1500,offensive
1501,offensive
1502,non-hostile
1503,non-hostile
1504,non-hostile
1505,non-hostile
1506,fake
1507,offensive
1508,non-hostile
1509,non-hostile
1510,offensive
1511,hate
1512,non-hostile
1513,non-hostile
1514,non-hostile
1515,hate
1516,hate
1517,non-hostile
1518,fake
1519,"defamation,fake"
1520,offensive
1521,non-hostile
1522,"defamation,hate"
1523,non-hostile
1524,fake
1525,fake
1526,non-hostile
1527,defamation
1528,offensive
1529,non-hostile
1530,defamation
1531,non-hostile
1532,non-hostile
1533,"defamation,hate"
1534,offensive
1535,non-hostile
1536,non-hostile
1537,fake
1538,non-hostile
1539,hate
1540,"defamation,offensive"
1541,non-hostile
1542,fake
1543,offensive
1544,fake
1545,hate
1546,non-hostile
1547,offensive
1548,fake
1549,non-hostile
1550,non-hostile
1551,offensive
1552,non-hostile
1553,offensive
1554,non-hostile
1555,fake
1556,defamation
1557,fake
1558,offensive
1559,non-hostile
1560,hate
1561,non-hostile
1562,non-hostile
1563,"defamation,offensive"
1564,non-hostile
1565,hate
1566,"hate,offensive"
1567,"defamation,offensive"
1568,non-hostile
1569,"defamation,hate"
1570,fake
1571,non-hostile
1572,non-hostile
1573,"fake,hate"
1574,fake
1575,non-hostile
1576,non-hostile
1577,non-hostile
1578,non-hostile
1579,offensive
1580,"defamation,hate"
1581,non-hostile
1582,defamation
1583,hate
1584,fake
1585,hate
1586,fake
1587,non-hostile
1588,non-hostile
1589,non-hostile
1590,defamation
1591,hate
1592,"defamation,fake"
1593,non-hostile
1594,offensive
1595,non-hostile
1596,offensive
1597,non-hostile
1598,"hate,offensive"
1599,non-hostile
1600,"defamation,offensive"
1601,"hate,offensive"
1602,non-hostile
1603,non-hostile
1604,non-hostile
1605,non-hostile
1606,non-hostile
1607,offensive
1608,fake
1609,non-hostile
1610,hate
1611,defamation
1612,non-hostile
1613,non-hostile
1614,non-hostile
1615,fake
1616,hate
1617,non-hostile
1618,fake
1619,non-hostile
1620,non-hostile
1621,hate
1622,non-hostile
1623,fake
1624,non-hostile
1625,non-hostile
1626,non-hostile
1627,fake
1628,non-hostile
1629,non-hostile
1630,hate
1631,"defamation,offensive"
1632,non-hostile
1633,fake
1634,non-hostile
1635,non-hostile
1636,hate
1637,fake
1638,fake
1639,hate
1640,non-hostile
1641,non-hostile
1642,non-hostile
1643,fake
1644,non-hostile
1645,non-hostile
1646,non-hostile
1647,non-hostile
1648,"fake,hate"
1649,non-hostile
1650,hate
1651,offensive
1652,non-hostile
1653,non-hostile
